,MAE,RMSE,R2
Linear_Regression,14342.86269140739,21450.325755103368,0.11765662657307374
Random_Forest,14326.054861590379,22668.471150747275,0.014596034428480897
XGBoost,13989.682683422423,23147.602282301796,-0.027500088667876676
